[DEBUG] 2021-02-19 19:54:43.808 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2021-02-19 19:54:43.817 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2021-02-19 19:54:43.822 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2021-02-19 19:54:43.925 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2021-02-19 19:54:43.927 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2021-02-19 19:54:44.363 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2021-02-19 19:54:44.364 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2021-02-19 19:54:44.370 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2021-02-19 19:54:44.837 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2021-02-19 19:54:44.868 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2021-02-19 19:54:44.869 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2021-02-19 19:54:44.900 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2021-02-19 19:54:45.089 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@65eabaab
[DEBUG] 2021-02-19 19:54:45.089 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@65eabaab
[DEBUG] 2021-02-19 19:54:45.089 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@65eabaab
[DEBUG] 2021-02-19 19:54:45.090 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@47ad69f7
[DEBUG] 2021-02-19 19:54:45.091 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@100c567f
[DEBUG] 2021-02-19 19:54:45.092 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@30669dac
[DEBUG] 2021-02-19 19:54:45.094 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@6ff415ad
[DEBUG] 2021-02-19 19:54:45.094 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@6ff415ad
[DEBUG] 2021-02-19 19:54:45.094 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@6ff415ad
[DEBUG] 2021-02-19 19:54:45.096 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@1128620c
[DEBUG] 2021-02-19 19:54:45.096 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@1128620c
[DEBUG] 2021-02-19 19:54:45.096 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@1128620c
[DEBUG] 2021-02-19 19:54:45.097 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@f446158
[DEBUG] 2021-02-19 19:54:45.098 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@f446158
[DEBUG] 2021-02-19 19:54:45.098 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@f446158
[DEBUG] 2021-02-19 19:54:45.099 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@730e5763
[DEBUG] 2021-02-19 19:54:45.099 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@730e5763
[DEBUG] 2021-02-19 19:54:45.099 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@730e5763
[DEBUG] 2021-02-19 19:54:45.101 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@479f2dc2
[DEBUG] 2021-02-19 19:54:45.101 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@479f2dc2
[DEBUG] 2021-02-19 19:54:45.101 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@479f2dc2
[DEBUG] 2021-02-19 19:54:45.102 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@7063686f
[DEBUG] 2021-02-19 19:54:45.102 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@7063686f
[DEBUG] 2021-02-19 19:54:45.103 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@7063686f
