[DEBUG] 2021-02-19 21:40:03.489 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2021-02-19 21:40:03.495 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2021-02-19 21:40:03.500 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2021-02-19 21:40:03.586 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2021-02-19 21:40:03.591 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2021-02-19 21:40:03.794 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2021-02-19 21:40:03.795 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2021-02-19 21:40:03.799 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2021-02-19 21:40:04.083 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2021-02-19 21:40:04.105 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2021-02-19 21:40:04.106 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2021-02-19 21:40:04.125 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2021-02-19 21:40:04.282 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@2bc9a775
[DEBUG] 2021-02-19 21:40:04.282 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@2bc9a775
[DEBUG] 2021-02-19 21:40:04.283 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@2bc9a775
[DEBUG] 2021-02-19 21:40:04.283 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@2ab2710
[DEBUG] 2021-02-19 21:40:04.283 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@6818d900
[DEBUG] 2021-02-19 21:40:04.284 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@31e72cbc
[DEBUG] 2021-02-19 21:40:04.285 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@5bca7664
[DEBUG] 2021-02-19 21:40:04.285 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@5bca7664
[DEBUG] 2021-02-19 21:40:04.285 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@5bca7664
[DEBUG] 2021-02-19 21:40:04.286 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@78830d9a
