[DEBUG] 2021-02-17 20:16:19.088 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2021-02-17 20:16:19.093 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2021-02-17 20:16:19.097 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2021-02-17 20:16:19.175 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2021-02-17 20:16:19.178 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2021-02-17 20:16:19.470 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2021-02-17 20:16:19.471 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2021-02-17 20:16:19.474 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2021-02-17 20:16:19.745 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2021-02-17 20:16:19.783 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2021-02-17 20:16:19.785 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2021-02-17 20:16:19.806 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2021-02-17 20:16:19.951 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@64aad6db
[DEBUG] 2021-02-17 20:16:19.952 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@64aad6db
[DEBUG] 2021-02-17 20:16:19.952 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@64aad6db
[DEBUG] 2021-02-17 20:16:19.952 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@546621c4
[DEBUG] 2021-02-17 20:16:19.953 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@4dafba3e
[DEBUG] 2021-02-17 20:16:19.953 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@4ed38226
[DEBUG] 2021-02-17 20:16:19.954 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@16c8b7bd
[DEBUG] 2021-02-17 20:16:19.954 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@16c8b7bd
[DEBUG] 2021-02-17 20:16:19.954 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@16c8b7bd
[DEBUG] 2021-02-17 20:16:19.955 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@5a8ba37c
[DEBUG] 2021-02-17 20:16:19.955 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@5a8ba37c
[DEBUG] 2021-02-17 20:16:19.955 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@5a8ba37c
[DEBUG] 2021-02-17 20:16:19.956 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@7e75bf2d
